XID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
10;1;WordPress;Main;0;Browse more than 4400+ premium WordPress themes and professional WordPress templates on ThemeForest. Every theme is reviewed by designers.;Premium WordPress Themes WordPress Templates;WordPress Themes ;Browse more than 4400+ premium WordPress themes and professional WordPress templates on ThemeForest. Every theme is reviewed by designers.;WordPress;http://www.theme4u.ru/img/art/wordpress-logo-680x400.png
11;0;CMS Themes;Main;0;Download templates and themes for various CMS.  Create a website with Drupal, Joomla, Concrete5, ExpressionEngine, and more;760+ CMS Templates  Themes;CMS Themes;Download templates and themes for various CMS.  Create a website with Drupal, Joomla, Concrete5, ExpressionEngine, and more;CMS-Themes;http://www.theme4u.ru/img/art/cms-logo.jpg
12;0;eCommerce;Main;0;eCommerce Themes Templates;950+ eCommerce Themes  Templates;eCommerce Themes;eCommerce Themes;eCommerce;http://www.theme4u.ru/img/art/ecommerce-success.jpg
13;0;Blogging ;Main;0;Blogging ;Blogging ;Blogging ;Blogging ;Blogging ;http://www.theme4u.ru/img/art/Blog.jpg
14;0;Marketing;Main;0;Marketing;Marketing;Marketing;Marketing;Marketing;http://www.theme4u.ru/img/art/marketing-template.jpg
15;0;Forum ;Main;0;Forum ;Forum ;Forum ;Forum ;Forum ;http://www.theme4u.ru/img/art/forum.jpg
16;0;Muse Templates;Main;0;Muse Templates;Muse Templates;Muse Templates;Muse Templates;Muse Templates;http://www.theme4u.ru/img/art/muse.png
201;1;Creative;WordPress;0;Creative;Creative;Creative;Creative;Creative;
202;1;Corporate;WordPress;0;Corporate;Corporate;Corporate;Corporate;Corporate;
203;1;Blog Magazine;WordPress;0;Blog Magazine;Blog Magazine;Blog Magazine;Blog Magazine;Blog Magazine;
204;1;eCommerce;WordPress;0;eCommerce;eCommerce;eCommerce;eCommerce;eCommerce;
205;1;Retail;WordPress;0;Retail;Retail;Retail;Retail;Retail;
206;1;Creative;WordPress;0;Creative;Creative;Creative;Creative;Creative;
207;1;Entertainment;WordPress;0;Entertainment;Entertainment;Entertainment;Entertainment;Entertainment;
208;1;Real Estate;WordPress;0;Real Estate;Real Estate;Real Estate;Real Estate;Real Estate;
209;1;Wedding;WordPress;0;Wedding;Wedding;Wedding;Wedding;Wedding;
210;1;Nonprofit;WordPress;0;Nonprofit;Nonprofit;Nonprofit;Nonprofit;Nonprofit;
211;1;Miscellaneous;WordPress;0;Miscellaneous;Miscellaneous;Miscellaneous;Miscellaneous;Miscellaneous;
212;1;Technology;WordPress;0;Technology;Technology;Technology;Technology;Technology;
213;1;Education;WordPress;0;Education;Education;Education;Education;Education;
214;1;BuddyPress;WordPress;0;BuddyPress;BuddyPress;BuddyPress;BuddyPress;BuddyPress;
215;1;Mobile;WordPress;0;Mobile;Mobile;Mobile;Mobile;Mobile;
216;1;Personal;Blog Magazine;0;Personal;Personal;Personal;Personal;Personal;
217;1;WooCommerce;eCommerce;0;WooCommerce;WooCommerce;WooCommerce;WooCommerce;WooCommerce;
218;1;Food;Retail;0;Food;Food;Food;Food;Food;
219;1;Business;Corporate;0;Business;Business;Business;Business;Business;
220;1;Portfolio;Creative;0;Portfolio;Portfolio;Portfolio;Portfolio;Portfolio;
221;1;Restaurants & Cafes;Entertainment;0;Restaurants & Cafes;Restaurants & Cafes;Restaurants & Cafes;Restaurants & Cafes;Restaurants & Cafes;
222;1;Charity;Nonprofit;0;Charity;Charity;Charity;Charity;Charity;
223;1;Photography;Creative;0;Photography;Photography;Photography;Photography;Photography;
224;1;Directory & Listings;Corporate;0;Directory & Listings;Directory & Listings;Directory & Listings;Directory & Listings;Directory & Listings;
225;1;News Editorial;Blog Magazine;0;News Editorial;News Editorial;News Editorial;News Editorial;News Editorial;
226;1;Health & Beauty;Retail;0;Health & Beauty;Health & Beauty;Health & Beauty;Health & Beauty;Health & Beauty;
227;1;Marketing;Corporate;0;Marketing;Marketing;Marketing;Marketing;Marketing;
228;1;Travel;Retail;0;Travel;Travel;Travel;Travel;Travel;
229;1;Music and Bands;Entertainment;0;Music and Bands;Music and Bands;Music and Bands;Music and Bands;Music and Bands;
230;1;Events;Entertainment;0;Events;Events;Events;Events;Events;
231;1;Children;Retail;0;Children;Children;Children;Children;Children;
232;1;WP e-Commerce;eCommerce;0;WP e-Commerce;WP e-Commerce;WP e-Commerce;WP e-Commerce;WP e-Commerce;
233;1;Political;Nonprofit;0;Political;Political;Political;Political;Political;
234;1;Software;Technology;;Software;Software;Software;Software;Software;
235;1;Activism;Nonprofit;;Activism;Activism;Activism;Activism;Activism;
236;1;Churches;Nonprofit;;Churches;Churches;Churches;Churches;Churches;
237;1;Experimental;Creative;;Experimental;Experimental;Experimental;Experimental;Experimental;
238;1;Environmental;Nonprofit;;Environmental;Environmental;Environmental;Environmental;Environmental;
239;1;Hosting;Technology;;Hosting;Hosting;Hosting;Hosting;Hosting;
240;1;Nightlife;Entertainment;;Nightlife;Nightlife;Nightlife;Nightlife;Nightlife;
241;1;Fashion;Retail;;Fashion;Fashion;Fashion;Fashion;Fashion;
242;1;Art;Creative;;Art;Art;Art;Art;Art;
243;1;Jigoshop;eCommerce;;Jigoshop;Jigoshop;Jigoshop;Jigoshop;Jigoshop;
